,mal_id,cosine,euclidean,manhattan
21,23390,9.86,0.2,0.2
0,2,9.809999999999999,0.1,0.1
1,13,9.739999999999998,0.223606797749979,0.30000000000000004
22,336,9.739999999999998,0.223606797749979,0.30000000000000004
80,583,9.739999999999998,0.223606797749979,0.30000000000000004
98,14790,9.739999999999998,0.223606797749979,0.30000000000000004
48,122663,9.62,0.17320508075688773,0.30000000000000004
5,656,9.62,0.2449489742783178,0.4
12,121496,9.62,0.2449489742783178,0.4
29,91941,9.62,0.2449489742783178,0.4
41,44489,9.62,0.2449489742783178,0.4
58,25515,9.62,0.2449489742783178,0.4
10,1,9.62,0.33166247903554,0.5
15,3,9.62,0.33166247903554,0.5
27,33327,9.62,0.33166247903554,0.5
28,21525,9.62,0.33166247903554,0.5
32,1133,9.62,0.33166247903554,0.5
33,102,9.62,0.33166247903554,0.5
36,28,9.62,0.33166247903554,0.5
38,664,9.62,0.33166247903554,0.5
43,60783,9.62,0.33166247903554,0.5
50,8586,9.62,0.33166247903554,0.5
51,745,9.62,0.33166247903554,0.5
59,107931,9.62,0.33166247903554,0.5
65,125036,9.62,0.33166247903554,0.5
70,22651,9.62,0.33166247903554,0.5
73,401,9.62,0.33166247903554,0.5
74,743,9.62,0.33166247903554,0.5
76,55215,9.62,0.33166247903554,0.5
81,72467,9.62,0.33166247903554,0.5
87,81669,9.62,0.33166247903554,0.5
88,74697,9.62,0.33166247903554,0.5
91,418,9.62,0.33166247903554,0.5
92,1224,9.62,0.33166247903554,0.5
95,81117,9.62,0.33166247903554,0.5
4,4632,9.62,0.4242640687119285,0.6000000000000001
8,90125,9.62,0.4242640687119285,0.6000000000000001
24,78523,9.62,0.4242640687119285,0.6000000000000001
26,104,9.62,0.4242640687119285,0.6000000000000001
35,111213,9.62,0.4242640687119285,0.6000000000000001
37,11734,9.62,0.4242640687119285,0.6000000000000001
39,88660,9.62,0.4242640687119285,0.6000000000000001
42,30,9.62,0.4242640687119285,0.6000000000000001
46,610,9.62,0.4242640687119285,0.6000000000000001
53,8967,9.62,0.4242640687119285,0.6000000000000001
60,70261,9.62,0.4242640687119285,0.6000000000000001
64,89357,9.62,0.4242640687119285,0.6000000000000001
68,8157,9.62,0.4242640687119285,0.6000000000000001
72,35573,9.62,0.4242640687119285,0.6000000000000001
79,126146,9.62,0.4242640687119285,0.6000000000000001
84,7375,9.62,0.4242640687119285,0.6000000000000001
85,3285,9.62,0.4242640687119285,0.6000000000000001
89,46282,9.62,0.4242640687119285,0.6000000000000001
93,5255,9.62,0.4242640687119285,0.6000000000000001
99,79085,9.62,0.4242640687119285,0.6000000000000001
3,1706,9.469999999999999,0.316227766016838,0.4
7,56805,9.469999999999999,0.316227766016838,0.4
23,16765,9.469999999999999,0.316227766016838,0.4
25,113138,9.469999999999999,0.316227766016838,0.4
30,3031,9.469999999999999,0.316227766016838,0.4
40,22,9.469999999999999,0.316227766016838,0.4
45,698,9.469999999999999,0.316227766016838,0.4
54,42,9.469999999999999,0.316227766016838,0.4
55,3866,9.469999999999999,0.316227766016838,0.4
62,24692,9.469999999999999,0.316227766016838,0.4
63,37707,9.469999999999999,0.316227766016838,0.4
66,104565,9.469999999999999,0.316227766016838,0.4
67,145,9.469999999999999,0.316227766016838,0.4
69,87609,9.469999999999999,0.316227766016838,0.4
75,96792,9.469999999999999,0.316227766016838,0.4
94,24,9.469999999999999,0.316227766016838,0.4
96,3009,9.469999999999999,0.316227766016838,0.4
13,35243,8.169999999999998,0.41231056256176607,0.5
16,51,8.169999999999998,0.41231056256176607,0.5
19,100448,8.169999999999998,0.41231056256176607,0.5
31,3006,8.169999999999998,0.41231056256176607,0.5
44,44,8.169999999999998,0.41231056256176607,0.5
47,145863,8.169999999999998,0.41231056256176607,0.5
49,7519,8.169999999999998,0.41231056256176607,0.5
52,7,8.169999999999998,0.41231056256176607,0.5
56,9711,8.169999999999998,0.41231056256176607,0.5
77,114745,8.169999999999998,0.41231056256176607,0.5
78,138673,8.169999999999998,0.41231056256176607,0.5
86,48621,8.169999999999998,0.41231056256176607,0.5
97,39883,8.169999999999998,0.41231056256176607,0.5
18,70345,4.039999999999999,0.39131189606246325,0.525
57,2921,3.8114285714285714,0.42866070498705616,0.7000000000000001
83,40171,3.8114285714285714,0.42866070498705616,0.7000000000000001
90,89087,3.8114285714285714,0.42866070498705616,0.7000000000000001
14,21,2.0066666666666664,0.474341649025257,0.6000000000000001
34,42451,2.0066666666666664,0.474341649025257,0.6000000000000001
61,105084,2.0066666666666664,0.474341649025257,0.6000000000000001
71,43,2.0066666666666664,0.474341649025257,0.6000000000000001
82,39325,1.9028571428571428,0.49497474683058335,0.7000000000000001
